"emoji","emotion_label"
"😠","anger"
"😡","anger"
"🤬","anger"
"😤","anger"
"👿","anger"
"💢","anger"
"😾","anger"
"🗯️","anger"
"😣","sadness"
"😢","sadness"
"😭","sadness"
"😓","sadness"
"😥","sadness"
"😪","sadness"
"💔","sadness"
"🥀","sadness"
"😿","sadness"
"😔","sadness"
"😩","sadness"
"😞","sadness"
"😟","sadness"
"😕","sadness"
"😂","joy"
"😄","joy"
"😊","joy"
"😃","joy"
"🥳","joy"
"🎉","joy"
"😆","joy"
"🤗","joy"
"😻","joy"
"✨","joy"
"😁","joy"
"😋","joy"
"😍","joy"
"🤩","joy"
"🥰","joy"
"😘","joy"
"😚","joy"
"😱","fear"
"😨","fear"
"😰","fear"
"😬","fear"
"🥶","fear"
"😳","fear"
"🙀","fear"
"👻","fear"
"😧","fear"
"😖","disgust"
"🤢","disgust"
"🤮","disgust"
"😫","disgust"
"🤧","disgust"
"😵","disgust"
"🤒","disgust"
"😒","disgust"
"🙄","disgust"
"😑","neutral"
"😐","neutral"
"😶","neutral"
"😏","neutral"
"🙂","neutral"
"🤔","neutral"
"😴","neutral"
"🤫","neutral"
"🤐","neutral"
"😶‍🌫️","neutral"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
"😮‍💨","surprise"
"😯","surprise"
"😮","surprise"
"😲","surprise"
"🤯","surprise"
"😯","surprise"
"😵‍💫","surprise"
"🙊","surprise"
"❓","surprise"
"⁉️","surprise"
"😯","surprise"
"🤭","surprise"
"🙀","surprise"
